,"('NPA', 'np')","('NPA', 'np1')","('NPA', 'np2')","('NPA', ('NPA', 'NPA'))","('NPO', 'np')","('NPO', 'np1')","('NPO', 'np2')","('NPO', ('NPA', 'NPO'))","('NPO', ('NPO', 'NPA'))","('NPS', 'np')","('NPS', 'np1')","('NPS', 'np2')","('NPS', ('NPA', 'NPS'))","('NPS', ('NPS', 'NPA'))","('S', ('NPA', 'S'))","('S', ('NPS', 'VP'))","('S', ('S', 'NPA'))","('S', ('VP', 'NPS'))","('S', ('VP',))","('V', 'v')","('VP', ('NPA', 'VP'))","('VP', ('NPO', 'V'))","('VP', ('V', 'NPO'))","('VP', ('V',))","('VP', ('VP', 'NPA'))"
187,0.941176471,0,0,0.058823529,0,0.629032258,0.177419355,0.177419355,0.016129032,1,0,0,0,0,0.038461538,0.019230769,0,0.038461538,0.903846154,1,0.019607843,0.862745098,0.117647059,0,0
188,1,0,0,0,0,0.639344262,0.180327869,0.163934426,0.016393443,0,0,0,0,0,0,0,0.038461538,0,0.961538462,1,0.107142857,0.785714286,0.107142857,0,0
189,0.95,0,0,0.05,0,0.609375,0.171875,0.203125,0.015625,0,0,0,0,0,0.037735849,0,0.018867925,0,0.943396226,1,0,0.862745098,0.117647059,0,0.019607843
190,1,0,0,0,0,0.609375,0.171875,0.203125,0.015625,0,0,0,0,0,0.038461538,0,0,0,0.961538462,1,0.018867925,0.830188679,0.113207547,0,0.037735849
191,1,0,0,0,0,0,0,0,0,0,0.709090909,0.2,0.090909091,0,0.163934426,0.721311475,0.016393443,0.098360656,0,1,0.037735849,0,0,0.943396226,0.018867925
192,0.933333333,0,0,0.066666667,0,0.684210526,0.192982456,0.105263158,0.01754386,1,0,0,0,0,0.056603774,0.094339623,0,0,0.849056604,1,0.018867925,0.830188679,0.113207547,0,0.037735849
193,0.947368421,0,0,0.052631579,0,0.661016949,0.186440678,0.13559322,0.016949153,1,0,0,0,0,0.055555556,0.018518519,0.018518519,0,0.907407407,1,0.055555556,0.814814815,0.111111111,0,0.018518519
194,1,0,0,0,0.016666667,0.633333333,0.183333333,0.166666667,0,0.75,0.25,0,0,0,0.037735849,0.075471698,0.018867925,0,0.867924528,1,0.019230769,0.846153846,0.115384615,0,0.019230769
195,0.95,0,0.05,0,0,0.661016949,0.169491525,0.152542373,0.016949153,0,0,0,0,0,0.074074074,0,0,0,0.925925926,1,0.071428571,0.767857143,0.107142857,0.017857143,0.035714286
196,0.947368421,0.052631579,0,0,0.016129032,0.612903226,0.177419355,0.193548387,0,0,0,0,0,0,0.089285714,0,0.017857143,0,0.892857143,1,0,0.862745098,0.117647059,0,0.019607843
197,1,0,0,0,0,0.639344262,0.180327869,0.163934426,0.016393443,1,0,0,0,0,0.037037037,0.018518519,0.037037037,0,0.907407407,1,0.056603774,0.830188679,0.113207547,0,0
198,0.95,0,0,0.05,0,0.65,0.183333333,0.15,0.016666667,0,0,0,0,0,0.072727273,0,0.018181818,0,0.909090909,1,0.037735849,0.830188679,0.113207547,0,0.018867925
199,0.947368421,0.052631579,0,0,0.016129032,0.612903226,0.177419355,0.177419355,0.016129032,0,0,0,0,0,0.070175439,0,0.052631579,0,0.877192982,1,0,0.9,0.1,0,0
200,1,0,0,0,0,0.65,0.183333333,0.15,0.016666667,1,0,0,0,0,0.019607843,0.117647059,0,0,0.862745098,1,0,0.846153846,0.115384615,0,0.038461538
201,0.9375,0,0,0.0625,0,0.696428571,0.196428571,0.089285714,0.017857143,1,0,0,0,0,0.072727273,0.054545455,0.018181818,0.018181818,0.836363636,1,0.056603774,0.830188679,0.113207547,0,0
202,1,0,0,0,0,0.672413793,0.172413793,0.137931034,0.017241379,0.75,0,0.25,0,0,0.056603774,0.037735849,0,0.037735849,0.867924528,1,0.074074074,0.796296296,0.111111111,0.018518519,0
203,1,0,0,0,0,0.661016949,0.186440678,0.13559322,0.016949153,0,0,0,0,0,0.072727273,0,0.018181818,0,0.909090909,1,0.072727273,0.8,0.109090909,0,0.018181818
204,1,0,0,0,0,0,0,0,0,0,0.619047619,0.174603175,0.19047619,0.015873016,0.072727273,0.8,0.018181818,0.109090909,0,1,0,0,0,0.980392157,0.019607843
205,1,0,0,0,1,0,0,0,0,0,0.661016949,0.186440678,0.152542373,0,0.122807018,0.771929825,0,0.105263158,0,1,0,0.019230769,0,0.942307692,0.038461538
206,1,0,0,0,0,0,0,0,0,0,0.65,0.183333333,0.15,0.016666667,0.122807018,0.771929825,0,0.105263158,0,1,0,0,0,0.961538462,0.038461538
207,1,0,0,0,0,0,0,0,0,0,0.672413793,0.189655172,0.137931034,0,0.133333333,0.733333333,0.033333333,0.1,0,1,0.019607843,0,0,0.980392157,0
208,1,0,0,0,0.018181818,0.690909091,0.2,0.090909091,0,0.8,0.1,0,0.1,0,0.038461538,0.134615385,0,0.038461538,0.788461538,1,0.038461538,0.846153846,0.115384615,0,0
209,0.888888889,0,0,0.111111111,0,0.75,0.211538462,0.019230769,0.019230769,1,0,0,0,0,0.019607843,0.215686275,0,0,0.764705882,1,0.037037037,0.814814815,0.111111111,0,0.037037037
210,1,0,0,0,0,0.709090909,0.2,0.072727273,0.018181818,1,0,0,0,0,0.163934426,0.016393443,0.016393443,0,0.803278689,1,0.019230769,0.846153846,0.115384615,0,0.019230769
211,1,0,0,0,0,0.65,0.183333333,0.15,0.016666667,1,0,0,0,0,0.019230769,0.019230769,0.019230769,0.019230769,0.923076923,1,0.090909091,0.8,0.109090909,0,0
212,1,0,0,0,0,0.629032258,0.177419355,0.177419355,0.016129032,1,0,0,0,0,0.019230769,0,0.019230769,0.019230769,0.942307692,1,0.074074074,0.814814815,0.111111111,0,0
213,0.894736842,0,0,0.105263158,0.5,0.5,0,0,0,0.015873016,0.603174603,0.174603175,0.19047619,0.015873016,0.019607843,0.882352941,0,0.098039216,0,1,0,0,0.039215686,0.941176471,0.019607843
214,0.95,0.05,0,0,0,0,0,0,0,0,0.655172414,0.189655172,0.155172414,0,0.120689655,0.74137931,0.017241379,0.103448276,0.017241379,1,0.037735849,0,0,0.943396226,0.018867925
215,1,0,0,0,0,0,0,0,0,0,0.609375,0.171875,0.21875,0,0.018867925,0.830188679,0.037735849,0.113207547,0,1,0.038461538,0,0,0.961538462,0
216,0.947368421,0.052631579,0,0,0,0,0,0,0,0.015873016,0.603174603,0.174603175,0.19047619,0.015873016,0.037037037,0.814814815,0.037037037,0.111111111,0,1,0.038461538,0,0,0.961538462,0
217,1,0,0,0,0,0,0,0,0,0,0.672413793,0.189655172,0.120689655,0.017241379,0.13559322,0.745762712,0.016949153,0.101694915,0,1,0,0,0,0.961538462,0.038461538
218,0.947368421,0,0,0.052631579,1,0,0,0,0,0,0.639344262,0.180327869,0.180327869,0,0.074074074,0.814814815,0,0.111111111,0,1,0,0.019230769,0,0.942307692,0.038461538
